#位置,商品编号或物品名,数量(默认1),价格(默认1),价格类型（0金币,1元宝,激活行会等级,每日限购次数,,2,绑定元宝,3绑定金币,4通用元宝,5通用金币）,,"绑定(0不绑定,1绑定,2使用绑定)"
0,VIP会员(30天),1,4500,1,6000,1,5,,,,,,,,
1,招财神符,1,100,1,200,1,5,,,,,,,,
2,开心富贵虎,1,100,1,200,1,5,,,,,,,,
3,15037,1,300,1,1000,1,5,,,,,,,,
4,魂石令牌(500),1,300,1,1000,2,5,,,,,,,,
5,荣誉令牌(10000),1,300,1,1000,2,5,,,,,,,,
6,成就令牌,1,200,1,200,2,5,,,,,,,,
7,15056,1,500,1,1000,2,5,,,,,,,,
8,15004,1,150,1,300,2,5,,,,,,,,
9,进阶石,1,10,1,20,2,5,,,,,,,,
10,聚灵珠,1,1280,1,1580,3,5,,,,,,,,
11,超级祝福油,1,10800,1,12000,3,5,,,,,,,,
12,盘古神石,1,5888,1,6000,3,5,,,,,,,,
13,疗伤药(包),1,10,1,60,3,5,,,,,,,,
14,祈灵玉,1,1000,1,1500,3,5,,,,,,,,
15,镇魔令,1,10,1,10,4,5,,,,,,,,
16,镇魔令包,1,100,1,100,4,5,,,,,,,,
17,镇魔令大包,1,1000,1,1000,4,5,,,,,,,,
18,金条,1,1000,1,1500,4,5,,,,,,,,
19,一级灵珠,1,30,1,50,4,5,,,,,,,,
20,二级灵珠,1,90,1,150,5,5,,,,,,,,
21,三级灵珠,1,270,1,450,5,5,,,,,,,,
22,四级灵珠,1,810,1,1350,5,5,,,,,,,,
23,五级灵珠,1,2430,1,4050,5,5,,,,,,,,
