#物品编号    速度     上马速度
130001       1.2      2000
130002       1.2      2000
130011       1.04     2000
130012       1.08     2000
130013       1.12     2000
130014       1.16     2000
130015       1.20     2000
130016       1.24     2000
130017       1.28     2000
130018       1.32     2000
130019       1.36     2000
130020       1.40     2000
130021       1.45     2000
130022       1.50     2000
130023       1.55     2000
130024       1.60     2000
130025       1.65     2000
#新坐骑速度
130101		1.04		2000
130102		1.044		2000
130103		1.048		2000
130104		1.052		2000
130105		1.056		2000
130106		1.06		2000
130107		1.064		2000
130108		1.068		2000
130109		1.072		2000
130110		1.08		2000
130111		1.084		2000
130112		1.088		2000
130113		1.092		2000
130114		1.096		2000
130115		1.1		2000
130116		1.104		2000
130117		1.108		2000
130118		1.112		2000
130119		1.116		2000
130120		1.12		2000
130121		1.124		2000
130122		1.128		2000
130123		1.132		2000
130124		1.136		2000
130125		1.14		2000
130126		1.144		2000
130127		1.148		2000
130128		1.152		2000
130129		1.156		2000
130130		1.16		2000
130131		1.164		2000
130132		1.168		2000
130133		1.172		2000
130134		1.176		2000
130135		1.18		2000
130136		1.184		2000
130137		1.188		2000
130138		1.192		2000
130139		1.196		2000
130140		1.2		2000
130141		1.204		2000
130142		1.208		2000
130143		1.212		2000
130144		1.216		2000
130145		1.22		2000
130146		1.224		2000
130147		1.228		2000
130148		1.232		2000
130149		1.236		2000
130150		1.24		2000
130151		1.244		2000
130152		1.248		2000
130153		1.252		2000
130154		1.256		2000
130155		1.26		2000
130156		1.264		2000
130157		1.268		2000
130158		1.272		2000
130159		1.276		2000
130160		1.28		2000
130161		1.284		2000
130162		1.288		2000
130163		1.292		2000
130164		1.296		2000
130165		1.3		2000
130166		1.304		2000
130167		1.308		2000
130168		1.312		2000
130169		1.316		2000
130170		1.32		2000
130171		1.324		2000
130172		1.328		2000
130173		1.332		2000
130174		1.336		2000
130175		1.34		2000
130176		1.344		2000
130177		1.348		2000
130178		1.352		2000
130179		1.356		2000
130180		1.36		2000
130181		1.364		2000
130182		1.368		2000
130183		1.372		2000
130184		1.376		2000
130185		1.38		2000
130186		1.384		2000
130187		1.388		2000
130188		1.392		2000
130189		1.396		2000
130190		1.4		2000
130191		1.405		2000
130192		1.41		2000
130193		1.415		2000
130194		1.42		2000
130195		1.425		2000
130196		1.43		2000
130197		1.435		2000
130198		1.44		2000
130199		1.445		2000
130200		1.45		2000
130201		1.455		2000
130202		1.46		2000
130203		1.465		2000
130204		1.47		2000
130205		1.475		2000
130206		1.48		2000
130207		1.485		2000
130208		1.49		2000
130209		1.495		2000
130210		1.5		2000
130211		1.505		2000
130212		1.51		2000
130213		1.515		2000
130214		1.52		2000
130215		1.525		2000
130216		1.53		2000
130217		1.535		2000
130218		1.54		2000
130219		1.545		2000
130220		1.55		2000
130221		1.555		2000
130222		1.56		2000
130223		1.565		2000
130224		1.57		2000
130225		1.575		2000
130226		1.58		2000
130227		1.585		2000
130228		1.59		2000
130229		1.595		2000
130230		1.6		2000
130231		1.605		2000
130232		1.61		2000
130233		1.615		2000
130234		1.62		2000
130235		1.625		2000
130236		1.63		2000
130237		1.635		2000
130238		1.64		2000
130239		1.645		2000
130240		1.65		2000
130241		1.65		2000
130242		1.65		2000
130243		1.65		2000
130244		1.65		2000
130245		1.65		2000
130246		1.65		2000
130247		1.65		2000
130248		1.65		2000
130249		1.65		2000
130250		1.65		2000
