#物品编号    激活属性ID
20400	100
20401	101
20402	102
20403	100
20404	101
20405	102
20406	100
20407	101
20408	102
20409   103
20410   104
20411   105
20412   103
20413   104
20414   105
20427   106
20428   107
20429   108
20430   106
20431   107
20432   108
20433   118
20434   119
20435   120
20436   106
20437   107
20438   108
20439   106
20440   107
20441   108
21000	100
21001	101
21002	102
21403   109
21404   110
21405   111
20415   112
20416   113
20417   114
20418   125
20419   126
20420   127
20421   125
20422   126
20423   127
20424   128
20425   129
20426   130
20442   128
20443   129
20444   130
20445   128
20446   129
20447   130
20448   131
20449   132
20450   133
20451   131
20452   132
20453   133
20454   112
20455   113
20456   114
20457   112
20458   113
20459   114
20460   128
20461   129
20462   130
20466   112
20467   113
20468   114
20469   112
20470   113
20471   114
20472   112
20473   113
20474   114
20475   112
20476   113
20477   114
20478   112
20479   113
20480   114
30013	100
30014	101
30015	102
35013	100
35014	101
35015	102
30016   109
30017   110
30018   111
35016   109
35017   110
35018   111
30019   109
30020   110
30021   111
35019   109
35020   110
35021   111
30022   103
30023   104
30024   105
35022   103
35023   104
35024   105
30025   103
30026   104
30027   105
35025   103
35026   104
35027   105
30040   106
30041   107
30042   108
35040   106
35041   107
35042   108
30043   106
30044   107
30045   108
35043   106
35044   107
35045   108
30046   106
30047   107
30048   108
35046   106
35047   107
35048   108
30049   106
30050   107
30051   108
35049   106
35050   107
35051   108
31013	100
31014	101
31015	102
36013	100
36014	101
36015	102
30028   112
30029   113
30030   114
35028   112
35029   113
35030   114
30031   125
30032   126
30033   127
35031   125
35032   126
35033   127
30034   125
30035   126
30036   127
35034   125
35035   126
35036   127
30037   128
30038   129
30039   130
35037   128
35038   129
35039   130
30052   128
30053   129
30054   130
35052   128
35053   129
35054   130
30055   128
30056   129
30057   130
35055   128
35056   129
35057   130
30058   131
30059   132
30060   133
35058   131
35059   132
35060   133
30061   131
30062   132
30063   133
35061   131
35062   132
35063   133
30067   128
30068   129
30069   130
35067   128
35068   129
35069   130

49003   112
49004   113
49005   114
49006   125
49007   126
49008   127
49009   125
49010   126
49011   127
49012   128
49013   129
49014   130
49015   128
49016   129
49017   130

40014	100
40015	101
40016	102
40017	100
40018	101
40019	102
40020	109
40021	110
40022	111
40023	109
40024	110
40025	111
40026	103
40027	104
40028	105
40029	103
40030	104
40031	105
40032	106
40033	107
40034	108
40035	106
40036	107
40037	108
40038	106
40039	107
40040	108
40041	106
40042	107
40043	108
40044	131
40045	132
40046	133
40047	131
40048	132
40049	133
40050	131
40051	132
40052	133
41014	100
41015	101
41016	102
41020	109
41021	110
41022	111
41023	109
41024	110
41025	111
41026	103
41027	104
41028	105
41029	103
41030	104
41031	105
41032	106
41033	107
41034	108
41035	106
41036	107
41037	108
41038	106
41039	107
41040	108
41041	106
41042	107
41043	108
43014	100
43015	101
43016	102
43017	100
43018	101
43019	102
43020	109
43021	110
43022	111
43023	109
43024	110
