#物品编号    最大叠加数量
10039        10000
10058        5
10060        10000
10061        10000
10062        10000
10063        10000
10064        10000
10065        10000
10066        10000
10067        10000
10073        10000
10074        10000
10075        10000
10076        10000
10077        10000
10078        10000
10079        10000
10080        10000
10081        10000
10092        10000
10093        10000
10094        10000
10095        10000
10096        10000
10097        10000
10100        5
10101        5
10102        5
10103        5
10104        5
10105        10000
10106        10000
10107        10000
10108        10000
10109        10000
10110        10000
10111        10000
10112        10000
10113        10000
10114        10000
10115        10000
10116        10000
10117        10000
10118        10000
10119        10000
10120        10000
10121        10000
10122        10000
10123        10000
10135        10000
10136        10000
10137        10000
10138        10000
10139        10000
10140        10000
10141        10000
10142        10000
10143        10000
10144        10000
10145        10000
10146        10000
10147        10000
10148        10000
10149        10000
10150        10000
10151        10000
10152        10000
10153        10000
10154        10000
10155        10000
10156        10000
10157        10000
10158        10000
10159        10000
10160        10000
10169        10000
10170        10000
10171        10000
10172        10000
10173        10000
10174        10000
10175        10000
10176        10000
10177        10000
10178        10000
10179        10000
10180        10000
10181        10000
10182        10000
10183        10000
10184        10000
10185        10000
10186        10000
10187        10000
10188        10000
10189        10000
10190        10000
10191        10000
10192        10000
10193        10000
10194        10000
10195        10000
10196        10000
10197        10000
10198        10000
10199        10000
10200        10000
10201        10000
10202        10000
10203        10000
10204        10000
10205        10000
10206        10000
10207        10000
10209        10000
10211        10000
10212        10000
10213        10000
10214        10000
10217        10000
10218        10000
10219        10000
10222        10000
10223        10000
10224        10000
10225        10000
10226        10000
10227        10000
10228        10000
10229        10000
10230        10000
10231        10000
10232        10000
10233        10000
10234        10000
10235        10000
10236        10000
10237        10000
10238        10000
10239        10000
10240        10000
10241        10000
10242        10000
10243        10000
10244        10000
10245        10000
10246        10000
10247        10000
10248        10000
10249        10000
10250        10000
10251        10000
10252        10000
10253        10000
10254        10000
10255        10000
10256        10000
10257        10000
10258        10000
10259        10000
10260        10000
10261        10000
10262        10000
10263        10000
10264        10000
10265        10000
10266        10000
10267        10000
10268        10000
10269        10000
10270        10000
10271        10000
10272        10000
10273        10000
10274        10000
10275        10000
10276        10000
10277        10000
10278        10000
10279        10000
10280        10000
10281        10000
10282        10000
10283        10000
10284        10000
10285        10000
10286        10000
10287        10000
10288        10000
10289        10000
10293        100
10294        100
10295        100
10296	     10000
10298	     10000
10301        1000
10302        1000
10303        1000
10304        1000
10305        1000
10306        1000
10313        1000
10316        100
10317        100
10318        1000
10319        1000
10320        1000
10321        1000
10324        100
10326        100

15002        1
15004        10000
15005        10000
15006        10000
15007        10000
15008        10000
15009        10000
15010        10000
15031        10000
15032        10000
15011        10000
15017        10000
15018        10000
15019        10000
15020        10000
15021        10000
15022        10000
15024        10000
15025        10000
15026        10000
15027        10000
15028        10000
15030        10000
15033        10000
15034        10000
15035        10000
15036        10000
15037        10000
15038        10000
15039        10000
15040        10000
15041        10000
15042        10000
15043        10000
15044        10000
15045        10000
15046        10000
15047        10000
15048        10000
15049        10000
15050        10000
15051        10000
15052        10000
15053        10000
15054        10000
15055        10000
15056        10000
15071        10000
15072        10000
15073        10000
15074        10000
15075        10000
15076        10000
15077        10000
15078        10000
15079        10000
15080        10000
15081        10000
15082        10000
15083        10000
15084        10000
15085        10000
15086        10000
15087        10000
15092        10000
15093        1000
15094        500
15095        100
15096        10
15097        1000
15104        10000
15105        1000
15106        500
15107        100
15108        10
15110        10000
15111        2000
15112        1000
15113        100
15114        10
15115        10000
15120        1000
15121        1000
15122        1000
15123        100
15124        100
15125        100
15126        100
15131        100
15132        100
15133        100
15134        100
15135        100
15136        10000
15137        2000
15138        1000
15139        100
15140        10
15141        10000
15142        10000
15143        10000
15144        1000


19002        10000
18028        10000
18099        100
18100        100
18101        100
18102        100
18103        100
18104        100
18131        10000

18187        1000




