#noautoenter  下线回城
#runplayer    允许穿人
#runmon       允许穿怪
#nodiedropitem 死亡不掉东西
#noprotectnewer 不保护新手
#masktype(0)  地图摭罩
#pkprohibit   禁止PK
#pkallow      允许PK(不加PK值)
#nochangeequiplist 禁止切换装备选项
#noseeothers   看不到其他玩家
#nodropitem 禁止扔东西
#addcofingroup  杀怪加疲软值
#em(number) 杀怪倍数
#execallow 地图打怪扣体力值
#expmul(number) 人物最大经验倍数
#nointeract     屏蔽玩家名字,禁止聊天,禁止查看角色信息
#nomount 禁止坐骑
#lockaction 禁止攻击和使用技能

#[地图编号 地图编号  名字  脚本触发  配置字段(支持上述的功能)

#地表地图
#[kuafu vkf 跨服战 map.kuafu runmon,runplayer
[wenquan v22 温泉 map.wenquan runmon,runplayer,pkprohibit,noprotectnewer,noautoenter,nodropitem,trigerenterleave,nomount,lockaction
[wenquan2 v22 温泉 map.wenquan2 runmon,runplayer,pkprohibit,noprotectnewer,noautoenter,nodropitem,trigerenterleave,nomount,lockaction
[v001 v001 银杏山谷 null runmon,runplayer
[xinshou v001b 边界村 null runmon,runplayer
[v002 v002 云霄城 null runmon,runplayer
[v006 v006 奴玛森林 map.lingdi3 runmon,runplayer,trigerenterleave
[v003 v003 沙漠土城 null runmon,runplayer,noprotectnewer
[v004 v004 恶人村 map.lingdi2 runmon,runplayer,noprotectnewer,trigerenterleave
[v007 v007 荒漠 map.lingdi1 runmon,runplayer,noprotectnewer,trigerenterleave
[v008 v008 猛犸森林 map.lingdi4 runmon,runplayer,trigerenterleave

[v009 v009 伏魔谷 map.lingdi5 runmon,runplayer,noprotectnewer,trigerenterleave

[v010 v010 孤月岛 null runmon,runplayer,noprotectnewer

[v011 v011 白云观 null runmon,runplayer,noprotectnewer


[v005 v005 王城 null  runmon,norelivestand,noprotectnewer,trigerenterleave
[kinghome vkinghome 王城皇宫 map.kinghome  runmon,di(10001),di(15002),norandgo,noautoenter,pkallow,noprotectnewer,trigerenterleave,norelivestand,nomount,ds(614),dartprohibit

[wlzb	yxsd	争霸大厅 map.wlzb runmon,trigerenterleave,pkallow,noautoenter,nodiedropitem,autoalive,noprotectnewer,norelivestand,nomount,ds(614),di(15002),di(10001)

[vkfz vkfz 至高城 map.kuafu  runmon,di(10001),di(15002),di(15001),di(10002),norandgo,noautoenter,nodiedropitem,pkallow,noprotectnewer,trigerenterleave,nomount,ds(614),dartprohibit
[smzc	smzc	神魔战场 map.zhanchang1  runmon,trigerenterleave,di(15002),di(10001),pkallow,noautoenter,nodiedropitem,autoalivescript,ds(411),norelivestand,nomount,fullrelive
[tjzc	vtjzc	天晶战场 map.tianj  runmon,trigerenterleave,di(15002),di(10001),pkallow,noautoenter,nodiedropitem,autoalivescript,ds(411),norelivestand,nomount,nointeract


[binghuodao	vbinghuodao	冰火岛 map.binghuo  runmon,trigerenterleave,di(15002),di(10001),pkallow,noautoenter,autoalivescript,ds(411),norelivestand,nomount

