#res_id,script,ai,#name,effect_type,effect_res,target_effect,lvl,undead,cooleye,exp,hp,mp,ac,mac,dc,dcmax,mc,sc,speed,hit,walk_spd,walkstep,walkwait,attack_spd
4100,null,neutral,练功师,0,0,0,1000,0,20,20,80000000,0,0,0,0,1,0,0,0,10,800,1,0,1200
4095,null,default,测试爆率,0,0,0,1000,0,20,2000,80,0,0,0,0,10,0,0,0,10,800,1,0,1200
#新手村,,,,,,,,,,0,,,,,,,,,,,,,,
4001,null,default,芦花鸡,0,0,0,5,0,0,500,80,0,0,0,0,10,0,0,0,12,1200,1,0,1400
4002,null,default,草人,0,0,0,9,0,0,600,100,0,0,0,0,10,0,0,0,12,1200,1,0,1400
4003,null,default,梅花鹿,0,0,0,10,0,0,740,100,0,0,0,10,10,0,0,0,12,1200,1,0,1400
4004,null,default,癞蛤蟆,0,0,0,11,0,0,1000,120,0,0,0,10,10,0,0,0,12,1200,1,0,1400
4005,null,default,钩耙猫,0,0,0,12,0,0,1140,120,0,0,0,10,10,0,0,0,12,1200,1,0,1400
4006,null,default,铁爪猫,0,0,0,13,0,0,1200,120,0,0,0,10,20,0,0,0,12,1200,1,0,1400
4008,null,default,兽人,0,0,0,14,0,0,1500,150,0,10,10,10,20,0,0,0,12,1200,1,0,1400
4009,null,default,野人,0,0,0,14,0,0,2200,220,0,20,10,10,20,0,0,0,12,1200,1,0,1400
4010,null,default,兽人战士,0,0,0,15,0,0,4000,300,0,20,10,10,30,0,0,0,12,1200,1,0,1400
#新手村2,,,,,,,,,,0,,,,,,,,,,,,,,
4151,null,default,兔子,0,0,0,5,0,0,500,80,0,0,0,0,10,0,0,0,12,1200,1,0,1400
4152,null,default,山羊,0,0,0,10,0,0,740,100,0,0,0,10,10,0,0,0,12,1200,1,0,1400
4153,null,default,蛤蟆怪,0,0,0,12,0,0,1140,120,0,0,0,10,10,0,0,0,12,1200,1,0,1400
4154,null,default,狼人,0,0,0,14,0,0,1500,150,0,10,10,10,20,0,0,0,12,1200,1,0,1400
4155,null,default,兽人勇士,0,0,0,15,0,0,400,220,0,20,10,10,20,0,0,0,12,1200,1,0,1400
#僵尸洞,,,,,,,,,,0,,,,,,,,,,,,,,
4011,null,default,瘸腿僵尸,0,0,0,20,0,0,4000,400,0,20,10,20,40,0,0,0,15,1000,1,0,1200
4012,null,default,花皮僵尸,0,0,0,20,0,0,4000,400,0,20,10,20,40,0,0,0,15,1000,1,0,1200
4013,null,default,爬行僵尸,0,0,0,20,0,0,4000,400,0,20,20,20,40,0,0,0,15,1000,1,0,1200
4014,null,default,黄袍僵尸,0,0,0,20,0,0,4000,400,0,20,20,20,40,0,0,0,15,1000,1,0,1200
4015,null,default,电僵尸,0,0,0,20,0,0,4000,400,0,20,20,20,40,0,0,0,15,1000,1,0,1200
4016,null,default,僵尸王,0,0,0,100,0,20,44000,5200,0,50,40,180,300,0,0,0,40,600,1,0,1000
4016,null,default,僵尸王0,0,0,0,100,0,20,44000,5200,0,50,40,180,300,0,0,0,40,600,1,0,1000
4124,mon.shua,default,蚀骨尸王,10,10011,0,200,0,51,6000000,1000000,0,400,400,1200,2000,0,0,0,40,100,2,0,300
#沃玛寺庙,,,,,,,,,,0,,,,,,,,,,,,,,
4017,null,default,奴玛战士,0,0,0,25,0,20,5240,530,0,30,20,30,60,0,0,0,20,800,1,0,1100
4018,null,default,奴玛勇士,0,0,0,25,0,20,6000,600,0,30,20,30,60,0,0,0,20,800,1,0,1100
4019,null,default,奴玛战将,0,0,0,25,0,20,6740,680,0,30,20,30,60,0,0,0,20,800,1,0,1100
4020,null,default,火焰奴玛,0,0,0,25,0,20,7000,700,0,30,20,30,60,0,0,0,20,800,1,0,1100
4022,null,default,奴玛卫士,0,0,0,120,0,20,100000,10000,0,100,60,200,400,0,0,0,20,300,1,0,600
4023,null,default,奴玛教主,10,10011,0,150,0,51,300000,50000,0,160,96,480,800,0,0,0,40,300,2,0,600
4063,mon.shua,remote,奴玛教皇,18,10091,0,180,0,51,2000000,200000,0,300,180,1000,1500,0,0,0,40,300,2,0,600
#蜈蚣洞,,,,,,,,,,0,,,,,,,,,,,,,,
4024,null,default,百足长虫,0,0,0,30,0,20,7500,750,0,30,20,40,80,0,0,0,25,600,1,0,1000
4025,null,default,恶蛆虫,0,0,0,30,0,20,7500,750,0,50,20,40,80,0,0,0,25,600,1,0,1000
4026,null,default,穿山甲,0,0,0,30,0,20,8000,800,0,50,20,40,80,0,0,0,25,600,1,0,1000
4027,null,default,杀人蜂,0,0,0,30,0,20,8500,850,0,30,20,40,80,0,0,0,25,600,1,0,1000
4028,null,default,蠕虫,0,0,0,30,0,20,9000,900,0,30,20,40,80,0,0,0,25,600,1,0,1000
4029,null,default,巨型穿山甲,0,0,0,120,0,20,100000,10000,0,100,60,200,400,0,0,0,25,300,1,0,600
4030,null,remote,嗜血毒虫,18,10051,0,150,0,51,300000,50000,0,160,96,480,800,0,0,0,40,600,1,0,800
4030,mon.shua,remote,邪龙神,18,10051,0,180,0,51,2000000,200000,0,300,180,1000,1500,0,0,0,40,600,1,0,600
#猪洞,,,,,,,,,,0,,,,,,,,,,,,,,
4031,null,default,食人蛾,0,0,0,32,0,20,10000,1000,0,40,20,50,100,0,0,0,30,600,1,0,1000
