#分类,位置,商品编号或物品名,数量(默认1),价格(默认1),价格类型（0金币,1元宝,2,绑定元宝,3绑定金币,4通用元宝,5通用金币）,,"绑定(0不绑定,1绑定,2使用绑定)"
0,0,30001,1,0,0,0,0,,,,,,
0,1,35001,1,0,0,0,0,,,,,,
0,2,30002,1,0,0,0,0,,,,,,
0,3,35002,1,0,0,0,0,,,,,,
0,4,30004,1,0,0,0,0,,,,,,
0,5,35004,1,0,0,0,0,,,,,,
0,6,30005,1,0,0,0,0,,,,,,
0,7,35005,1,0,0,0,0,,,,,,
0,8,30006,1,0,0,0,0,,,,,,
0,9,35006,1,0,0,0,0,,,,,,
0,10,40001,1,0,0,0,0,,,,,,
0,11,40002,1,0,0,0,0,,,,,,
0,12,40003,1,0,0,0,0,,,,,,
0,13,40004,1,0,0,0,0,,,,,,
0,14,40005,1,0,0,0,0,,,,,,
0,15,40006,1,0,0,0,0,,,,,,
0,16,40007,1,0,0,0,0,,,,,,
0,17,70001,1,0,0,0,0,,,,,,
0,18,70002,1,0,0,0,0,,,,,,
0,19,70003,1,0,0,0,0,,,,,,
0,20,70004,1,0,0,0,0,,,,,,
0,21,70008,1,0,0,0,0,,,,,,
0,22,70009,1,0,0,0,0,,,,,,
0,23,70010,1,0,0,0,0,,,,,,
0,24,70012,1,0,0,0,0,,,,,,
0,25,70013,1,0,0,0,0,,,,,,
0,26,70014,1,0,0,0,0,,,,,,
0,27,70015,1,0,0,0,0,,,,,,
0,28,70016,1,0,0,0,0,,,,,,
0,29,70017,1,0,0,0,0,,,,,,
0,30,60001,1,0,0,0,0,,,,,,
0,31,60002,1,0,0,0,0,,,,,,
0,32,60003,1,0,0,0,0,,,,,,
0,33,60004,1,0,0,0,0,,,,,,
0,34,60005,1,0,0,0,0,,,,,,
0,35,60006,1,0,0,0,0,,,,,,
0,36,60007,1,0,0,0,0,,,,,,
0,37,60008,1,0,0,0,0,,,,,,
0,38,60009,1,0,0,0,0,,,,,,
0,39,60010,1,0,0,0,0,,,,,,
0,40,60011,1,0,0,0,0,,,,,,
0,41,60012,1,0,0,0,0,,,,,,
0,42,60013,1,0,0,0,0,,,,,,
0,43,50001,1,0,0,0,0,,,,,,
0,44,50002,1,0,0,0,0,,,,,,
0,45,50003,1,0,0,0,0,,,,,,
0,46,50004,1,0,0,0,0,,,,,,
0,47,50005,1,0,0,0,0,,,,,,
0,48,50006,1,0,0,0,0,,,,,,
0,49,50007,1,0,0,0,0,,,,,,
0,50,50008,1,0,0,0,0,,,,,,
0,51,50009,1,0,0,0,0,,,,,,
0,52,50010,1,0,0,0,0,,,,,,
0,53,50011,1,0,0,0,0,,,,,,
0,54,50012,1,0,0,0,0,,,,,,
0,55,50013,1,0,0,0,0,,,,,,
0,56,50014,1,0,0,0,0,,,,,,
0,57,50015,1,0,0,0,0,,,,,,
0,58,50016,1,0,0,0,0,,,,,,
0,59,50017,1,0,0,0,0,,,,,,
0,60,50018,1,0,0,0,0,,,,,,
0,61,50019,1,0,0,0,0,,,,,,

1,0,30007,1,0,0,0,0,,,,,,
1,1,35007,1,0,0,0,0,,,,,,
1,2,30008,1,0,0,0,0,,,,,,
1,3,35008,1,0,0,0,0,,,,,,
1,4,30009,1,0,0,0,0,,,,,,
1,5,35009,1,0,0,0,0,,,,,,
1,6,40008,1,0,0,0,0,,,,,,
1,7,40009,1,0,0,0,0,,,,,,
1,8,40010,1,0,0,0,0,,,,,,
1,9,42014,1,0,0,0,0,,,,,,
1,10,42015,1,0,0,0,0,,,,,,
1,11,42016,1,0,0,0,0,,,,,,
1,12,42017,1,0,0,0,0,,,,,,
1,13,42018,1,0,0,0,0,,,,,,
1,14,42019,1,0,0,0,0,,,,,,
1,15,42020,1,0,0,0,0,,,,,,
1,16,42021,1,0,0,0,0,,,,,,
1,17,42022,1,0,0,0,0,,,,,,
1,18,42023,1,0,0,0,0,,,,,,
1,19,42024,1,0,0,0,0,,,,,,
1,20,42025,1,0,0,0,0,,,,,,
1,21,42026,1,0,0,0,0,,,,,,
1,22,42027,1,0,0,0,0,,,,,,
1,23,42028,1,0,0,0,0,,,,,,
1,24,42029,1,0,0,0,0,,,,,,
1,25,42030,1,0,0,0,0,,,,,,
1,26,42031,1,0,0,0,0,,,,,,
1,27,92004,1,0,0,0,0,,,,,,
1,28,92005,1,0,0,0,0,,,,,,
1,29,92006,1,0,0,0,0,,,,,,
1,30,92007,1,0,0,0,0,,,,,,
1,31,92008,1,0,0,0,0,,,,,,
1,32,92009,1,0,0,0,0,,,,,,
1,33,92010,1,0,0,0,0,,,,,,
1,34,92011,1,0,0,0,0,,,,,,
1,35,92012,1,0,0,0,0,,,,,,
1,36,92013,1,0,0,0,0,,,,,,
1,37,92014,1,0,0,0,0,,,,,,
1,38,92015,1,0,0,0,0,,,,,,
1,39,92016,1,0,0,0,0,,,,,,
1,40,92017,1,0,0,0,0,,,,,,
1,41,92018,1,0,0,0,0,,,,,,
1,42,92019,1,0,0,0,0,,,,,,
1,43,92020,1,0,0,0,0,,,,,,
1,44,92021,1,0,0,0,0,,,,,,
1,45,102004,1,0,0,0,0,,,,,,
1,46,102005,1,0,0,0,0,,,,,,
1,47,102006,1,0,0,0,0,,,,,,
1,48,102007,1,0,0,0,0,,,,,,
1,49,102008,1,0,0,0,0,,,,,,
1,50,102009,1,0,0,0,0,,,,,,
1,51,102010,1,0,0,0,0,,,,,,
1,52,102011,1,0,0,0,0,,,,,,
1,53,102012,1,0,0,0,0,,,,,,
1,54,102013,1,0,0,0,0,,,,,,
1,55,102014,1,0,0,0,0,,,,,,
1,56,102015,1,0,0,0,0,,,,,,
