#安全区编号      地图编号        中心坐标X       中心坐标Y         区域大小
1        v001       80      138      15
2        v002       89      142      20
3        v003       97      100      20
4        v004       34      62       8
5        v010       34      36     12
6        v011       34      43     12
7        xinshou      74      121      15
8        binghuodao      13      141      15
9        ygfx       61      163      20
10       hcbz       47     133     16
11       v007       9       14        8
12       v008       43      78       8
13       vkfz       149     26       10
14       vkfz       202     67       10
15       vkfz       203     296      10
16       vkfz       17      292      10
17       vkfz       19      42       10
