#分类,位置,商品编号或物品名,数量(默认1),价格(默认1),价格类型（0金币,1元宝,2,绑定元宝,3绑定金币,4通用元宝,5通用金币）,,"绑定(0不绑定,1绑定,2使用绑定)"
0,0,VIP会员(30天),1,4500,1,6000,,,,,,,
0,1,招财神符,1,100,1,200,,,,,,,
0,2,开心富贵虎,1,100,1,200,,,,,,,
0,3,十全大补丸,1,200,1,1000,,,,,,,
0,4,许愿金币,1,288,1,500,,,,,,,
0,5,装备灵魂石(100),1,1000,1,2000,,,,,,,
0,6,守护资质丹,1,300,1,1000,,,,,,,
0,7,灵气珠(500),1,500,1,1000,,,,,,,
0,8,守护进化丹,1,300,1,1000,,,,,,,
0,9,兽灵精华(500),1,500,1,1000,,,,,,,
0,10,15037,1,300,1,1000,,,,,,,
0,11,魂石令牌(500),1,300,1,1000,,,,,,,
0,12,荣誉令牌(10000),1,300,1,1000,,,,,,,
0,13,成就令牌,1,200,1,200,,,,,,,
0,14,修为令牌,1,500,1,1000,,,,,,,
0,15,进阶石,1,10,1,20,,,,,,,
0,16,聚灵珠,1,1280,1,1580,,,,,,,
0,17,超级祝福油,1,10800,1,12000,,,,,,,
0,18,盘古神石,1,5888,1,6000,,,,,,,
0,19,女娲神石,1,5888,1,6000,,,,,,,
0,20,疗伤药(包),1,10,1,60,,,,,,,
0,21,祈灵玉,1,1000,1,1500,,,,,,,
0,22,镇魔令,1,10,1,10,,,,,,,
0,23,镇魔令包,1,100,1,100,,,,,,,
0,24,镇魔令大包,1,1000,1,1000,,,,,,,
0,25,千里传音(10次),1,1000,1,1000,,,,,,,
0,26,七彩石,1,4000,1,4000,,,,,,,
0,27,武力丹,1,312,1,312,,,,,,,
0,28,魔力丹,1,312,1,312,,,,,,,
0,29,道力丹,1,312,1,312,,,,,,,
0,30,金钟丹,1,208,1,312,,,,,,,
0,31,铁布丹,1,208,1,312,,,,,,,
0,32,15004,1,150,1,300,,,,,,,
0,33,15005,1,450,1,900,,,,,,,
0,34,15006,1,1200,1,2400,,,,,,,
0,35,幸运神符(5%),1,90,1,200,,,,,,,
0,36,幸运神符(10%),1,268,1,600,,,,,,,
0,37,幸运神符(20%),1,612,1,1200,,,,,,,
0,38,幸运神符(30%),1,1200,1,2400,,,,,,,
0,39,幸运神符(40%),1,2400,1,4800,,,,,,,
0,40,幸运神符(50%),1,4800,1,9600,,,,,,,
0,41,幸运神符(100%),1,48000,1,48000,,,,,,,
0,42,低级融合符,1,600,1,1200,,,,,,,
0,43,中级融合符,1,4685,1,9370,,,,,,,
0,44,高级融合符,1,16200,1,32400,,,,,,,
0,45,超级融合符,1,32400,1,64800,,,,,,,
0,46,女儿红,1,10,1,20,,,,,,,
0,47,青铜镖令,1,10,1,20,,,,,,,
0,48,15035,1,30,1,100,,,,,,,
0,49,15036,1,150,1,500,,,,,,,
0,50,玛雅令牌,1,300,1,500,,,,,,,
0,51,赎罪药水,1,200,1,200,,,,,,,
0,52,回城石,1,50,1,100,,,,,,,
0,53,随机传送石,1,20,1,50,,,,,,,
0,54,移动仓库卷,1,50,1,50,,,,,,,
0,55,魔血石[10W],1,100,1,200,,,,,,,
0,56,魔血石[20W],1,200,1,400,,,,,,,
0,57,魔血石[50W],1,500,1,1000,,,,,,,
0,58,骰子,1,100,1,100,,,,,,,
0,59,还魂丹,1,100,1,100,,,,,,,
0,60,奴玛号角,1,500,1,1000,,,,,,,
0,61,王城印绶,1,100,1,200,,,,,,,
0,62,260012,1,300,1,1000,,,,,,,
9,0,VIP会员(30天),1,4500,1,6000,,,,,,,
9,1,招财神符,1,100,1,200,,,,,,,
9,2,聚灵珠,1,1280,1,1580,,,,,,,
9,3,开心富贵虎,1,100,1,200,,,,,,,
9,4,15004,1,150,1,300,,,,,,,
9,5,疗伤药(包),1,10,1,60,,,,,,,
9,6,盘古神石,1,5888,1,6000,,,,,,,
9,7,千里传音(10次),1,1000,1,1000,,,,,,,
9,8,魔血石[50W],1,500,1,1000,,,,,,,
9,9,祈灵玉,1,1000,1,1500,,,,,,,
9,10,七彩石,1,4000,1,4000,,,,,,,
9,11,赎罪药水,1,200,1,200,,,,,,,
9,12,回城石,1,50,1,100,,,,,,,
1,0,疗伤药(包),1,30,2,60,,,,,,,
1,1,聚灵珠,1,1280,2,1580,,,,,,,
1,2,玛雅令牌,1,300,2,500,,,,,,,
1,3,装备灵魂石(50)[绑],1,1000,2,2000,,,,,,,
1,4,进阶石包(200),1,2000,2,4000,,,,,,,
1,5,守护进化丹包,1,500,2,1000,,,,,,,
1,6,灵气珠(500)[绑],1,500,2,1000,,,,,,,
1,7,兽灵精华(100)[绑],1,100,2,200,,,,,,,
1,8,祈福令牌(小),1,1000,2,1000,,,,,,,
1,9,一级玄晶宝箱（绑）,1,800,2,2000,,,,,,,
